my_zone,beg_az,end_az,beg_rng,end_rng,ele_ang
 1,229.0,233.0, 4, 6, 1.0
 2, 13.0, 14.0,75,76, 1.0
 3, 12.0, 13.0,55,57, 1.0
 4,  5.0,  6.0,14,15, 1.0
 5,  6.0,  7.0,33,35, 1.0
 6, 25.0, 26.0,16,18, 1.0
 7, 61.0, 63.0,10,11, 1.0
 8,114.0,116.0,11,12, 1.0
 9,120.0,122.0,10,11, 1.0
10,129.0,130.0,17,18, 1.0
11,156.0,157.0,12,13, 1.0
12,193.0,194.0,18,19, 1.0
13,212.0,214.0, 9,11, 1.0
14,234.0,236.0, 7, 8, 1.0
15, 63.0, 65.0,21,24, 1.0
16,139.0,140.0,28,29, 1.0
17,157.0,159.0,22,23, 1.0
